LatGridBinSize 2.0
LonGridBinSize 2.0
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG
-56 -8 4 10.0 10.0 10.0 6.3 4.6 5.12
-56 -6 5 10.1 10.0 10.02 5.9 4.0 4.94
-56 -4 3 10.0 10.0 10.0 5.4 4.7 5.0
-56 144 3 10.0 10.0 10.0 4.3 4.0 4.17
-56 146 52 13.7 4.0 10.01 5.9 4.1 4.82
-56 148 9 14.94 10.0 11.02 5.6 4.2 4.66
-56 156 13 27.35 10.0 11.46 5.6 4.1 4.61
-56 158 2 10.0 10.0 10.0 4.7 4.3 4.5
-54 -168 4 15.47 10.0 11.37 4.7 4.2 4.45
-54 -150 1 10.0 10.0 10.0 4.7 4.7 4.7
-54 -148 1 10.0 10.0 10.0 5.0 5.0 5.0
-54 -146 11 14.0 5.0 9.91 5.8 4.4 5.08
-54 -144 3 15.15 10.0 11.72 4.6 4.4 4.53
-54 -142 3 14.8 10.0 11.6 5.5 4.4 4.9
-54 -140 2 15.21 10.0 12.6 4.6 4.5 4.55
-54 -138 2 10.0 10.0 10.0 4.7 4.4 4.55
-54 -136 17 15.14 10.0 11.05 6.0 4.4 5.14
-54 -134 16 15.51 10.0 10.34 6.1 4.1 5.27
-54 -132 18 10.0 7.2 9.84 6.7 4.1 5.0
-54 -130 22 12.1 10.0 10.1 6.0 4.4 4.93
-54 -128 47 13.78 10.0 10.18 6.3 4.3 5.07
-54 -126 17 15.14 10.0 10.55 5.8 4.2 4.91
-54 -124 22 24.3 10.0 10.79 6.1 4.4 5.09
-54 -122 19 12.28 9.52 10.09 6.2 4.1 5.08
-54 -120 7 14.58 10.0 10.65 5.4 4.3 4.81
-54 -118 11 16.05 10.0 10.96 5.4 4.4 4.83
-54 -70 1 10.0 10.0 10.0 3.9 3.9 3.9
-54 -62 1 10.0 10.0 10.0 4.3 4.3 4.3
-54 -58 3 10.0 10.0 10.0 4.8 4.4 4.57
-54 -56 2 10.0 10.0 10.0 4.7 4.5 4.6
-54 -54 15 16.39 10.0 12.04 5.6 4.0 4.63
-54 -46 1 10.0 10.0 10.0 4.3 4.3 4.3
-54 -38 3 18.51 10.0 12.84 5.4 4.4 4.77
-54 -34 3 15.47 8.3 12.72 4.6 4.3 4.47
-54 -32 37 22.03 3.35 11.54 5.8 4.0 4.68
-54 -30 305 34.39 5.37 11.54 7.4 4.0 4.65
-54 -28 289 248.18 5.0 25.73 6.9 4.0 4.59
-54 -26 464 167.1 2.81 36.72 6.4 4.0 4.57
