ID,Lat,Lon,Dep,OT,RMS,MinDist,Gap,NumPicks,Mag,DetectionTime,MatchedWith
us2000afd8,36.462800,-98.759800,7.303000,1504493489.000000,0.280000,0.000000,31.000000,0,2.900000,1504644615.642000,
us2000afdc,42.587200,-111.434100,6.210000,1504494516.760000,0.540000,33.690570,134.000000,0,2.800000,1511309601.450000,
us2000alj0,52.107000,-173.629500,167.940000,1504498481.990000,0.340000,37.137460,200.000000,0,2.800000,1508272616.040000,
us2000afdm,61.697800,-151.203800,74.200000,1504499063.460000,0.550000,0.000000,0.000000,0,2.400000,1505953785.040000,
us2000arml,-22.425600,-179.657200,585.860000,1504499569.640000,0.730000,570.293510,101.000000,0,4.300000,1505954300.040000,
us2000afdt,42.649600,-111.497000,6.110000,1504499733.640000,0.310000,34.913660,145.000000,0,2.600000,1511309603.160000,
us2000afe1,21.630600,142.988300,309.390000,1504500208.800000,0.810000,610.433100,46.000000,0,5.000000,1505954462.040000,
us2000arra,15.816200,-95.590100,18.690000,1504501186.900000,0.910000,55.706190,141.000000,0,4.000000,1506984317.040000,
us2000afeb,59.849000,-153.441700,130.000000,1504502435.640000,0.580000,0.000000,0.000000,0,2.800000,1507717441.040000,
us2000afer,37.598700,-97.754600,3.680000,1504505411.520000,0.200000,35.580800,84.000000,0,2.200000,1507298608.040000,
us2000afeu,42.621300,-111.451600,5.710000,1504505829.000000,0.350000,32.912240,125.000000,0,4.500000,1508306382.539000,
us2000aff4,-59.408900,-25.669300,35.000000,1504505894.570000,0.970000,871.840790,61.000000,0,5.000000,1507543472.040000,
us2000awzt,42.650000,-111.453600,10.000000,1504506186.680000,1.140000,31.577960,131.000000,0,2.900000,1507792307.040000,
us2000affb,42.624500,-111.487600,4.950000,1504506817.780000,0.260000,35.358420,142.000000,0,2.600000,1511309607.770000,
us2000affl,42.610500,-111.469800,3.580000,1504507953.600000,0.180000,34.802470,74.000000,0,3.400000,1507790387.040000,
us2000affn,42.632000,-111.504900,3.090000,1504508127.460000,0.350000,34.580090,143.000000,0,3.700000,1507644192.111000,
us2000afga,42.660400,-111.466900,3.970000,1504510055.550000,0.760000,32.133910,142.000000,0,2.700000,1511309460.740000,
us2000afgd,42.653000,-111.502200,6.010000,1504510490.160000,0.290000,32.356290,81.000000,0,3.400000,1507790804.040000,
us2000armq,-20.217000,-173.129500,10.000000,1504510511.950000,1.100000,358.476560,83.000000,0,4.600000,1507727597.040000,
us2000afgk,42.552900,-111.438100,10.000000,1504510784.870000,0.590000,36.359130,133.000000,0,2.600000,1511309615.550000,
us2000afgr,42.624000,-111.484100,10.000000,1504511618.980000,0.660000,35.136040,142.000000,0,2.400000,1507791189.040000,
us2000afgs,42.656200,-111.485800,4.530000,1504511705.920000,0.350000,31.689150,84.000000,0,3.900000,1508305928.718000,
us2000afh4,42.622700,-111.479900,11.060000,1504512163.140000,0.380000,34.913660,141.000000,0,2.400000,1511309617.260000,
us2000afh6,42.638000,-111.510300,9.680000,1504512317.420000,0.490000,36.359130,146.000000,0,2.600000,1511309618.820000,
us2000afh9,-57.738700,-25.613100,25.000000,1504512454.500000,0.860000,779.330710,21.000000,0,6.100000,1507737211.169000,
us2000armr,2.158600,122.024900,535.320000,1504512515.110000,1.220000,180.127800,106.000000,0,4.500000,1508305306.040000,
us2000arqk,-57.659400,-25.263900,35.000000,1504513556.020000,0.870000,794.786120,152.000000,0,4.500000,1507712452.040000,
us2000alj4,54.696800,-160.625500,24.260000,1504513715.400000,0.430000,68.381850,195.000000,0,3.100000,1507714154.040000,
us2000arms,-11.257400,34.981800,10.000000,1504515452.050000,0.860000,859.053940,63.000000,0,4.200000,1507710265.040000,
us2000afi9,42.612700,-111.462400,10.000000,1504517237.730000,0.380000,34.135330,126.000000,0,3.000000,1508329030.040000,
us2000afid,42.685600,-111.523500,7.460000,1504518081.650000,0.200000,35.691990,83.000000,0,2.400000,1511309623.370000,
us2000appl,42.586300,-111.468200,10.000000,1504518119.080000,0.820000,36.025560,138.000000,0,2.700000,1511309624.840000,
us2000afie,36.698500,-97.679700,8.166000,1504518196.100000,0.300000,0.000000,53.000000,0,2.700000,1507639629.040000,
us2000afih,54.076500,169.422000,19.080000,1504518359.510000,0.680000,345.578520,100.000000,0,4.800000,1507648173.040000,
us2000afig,42.679600,-111.501600,1.340000,1504518380.060000,0.410000,34.135330,147.000000,0,2.600000,1511309626.420000,
us2000afiq,61.088300,-151.368800,65.200000,1504519833.280000,0.380000,0.000000,0.000000,0,2.300000,1507648634.040000,
us2000afin,-29.170800,-71.608700,48.240000,1504519842.310000,0.760000,90.063900,144.000000,0,3.800000,1507706761.040000,
us2000afiw,40.765100,-115.997300,2.100000,1504522142.950000,0.900000,33.801760,113.000000,0,3.400000,1507707389.040000,
us2000afix,42.607200,-111.485200,1.760000,1504522347.980000,0.310000,36.025560,129.000000,0,3.100000,1507707735.040000,
us2000armx,-34.762400,179.005100,147.640000,1504522947.980000,1.370000,316.891500,254.000000,0,4.100000,1506062393.040000,
us2000aflp,50.572700,177.178800,24.790000,1504523213.270000,0.520000,173.901160,250.000000,0,3.100000,1505457383.040000,
us2000armz,-35.422200,179.488500,67.330000,1504524450.170000,0.630000,259.962220,261.000000,0,4.200000,1506062622.040000,
us2000arn0,-5.623200,126.336900,504.770000,1504524854.640000,0.890000,510.250910,45.000000,0,4.700000,1506062954.040000,
us2000afji,-8.822500,-78.514200,103.520000,1504526173.950000,1.230000,394.613310,176.000000,0,4.500000,1508505172.040000,
us2000arn3,53.665800,163.064200,34.240000,1504526939.540000,1.450000,302.770370,140.000000,0,4.300000,1506063507.040000,
us2000afjl,42.665600,-111.472600,4.460000,1504527679.510000,0.380000,32.356290,143.000000,0,2.600000,1511309631.340000,
us2000afjq,42.639800,-111.511200,5.010000,1504527993.610000,0.580000,36.359130,146.000000,0,2.600000,1511309632.960000,
us2000afjr,42.678400,-111.550600,5.200000,1504528165.090000,0.960000,38.138170,150.000000,0,2.800000,1511309634.670000,
us2000afju,54.876700,162.920700,42.680000,1504528716.100000,0.570000,348.358270,127.000000,0,4.500000,1506063915.040000,
us2000arn4,-20.832100,-178.619200,558.960000,1504529409.020000,0.710000,488.568860,135.000000,0,4.500000,1506064484.040000,
us2000afk5,42.625600,-111.439300,9.500000,1504533576.960000,0.200000,31.800340,123.000000,0,2.500000,1506370090.040000,
us2000afk9,52.471600,-169.041600,41.460000,1504534381.070000,0.860000,57.151660,176.000000,0,4.300000,1506370715.040000,
us2000alja,57.148700,-157.738300,2.600000,1504535114.260000,1.000000,0.000000,0.000000,0,2.400000,1506371092.040000,
us2000afkd,34.259700,25.067600,10.000000,1504535635.580000,0.670000,115.192840,47.000000,0,4.700000,1506371256.040000,
us2000arn5,-17.896500,-178.464300,598.820000,1504536836.790000,0.540000,369.261990,113.000000,0,4.300000,1506374788.040000,
us2000arn6,18.874000,145.312900,225.270000,1504537220.180000,0.700000,586.193680,129.000000,0,4.200000,1506432472.040000,
us2000afkq,42.671300,-111.473900,7.140000,1504538493.070000,0.350000,32.245100,143.000000,0,2.500000,1511309639.420000,
us2000arn8,41.642200,145.483100,8.640000,1504540228.790000,0.620000,197.584630,135.000000,0,4.900000,1506443675.040000,
us2000afky,31.118800,-103.548600,5.000000,1504542962.890000,0.650000,41.140300,69.000000,0,2.800000,1505167472.040000,
us2000afl0,19.856100,-64.149000,28.210000,1504543014.990000,0.780000,180.794940,230.000000,0,3.500000,1505168160.040000,
us2000afli,17.782600,-66.030700,10.000000,1504545617.930000,0.560000,21.682050,216.000000,0,2.000000,1504561918.040000,
us2000afl8,-38.723300,-75.273000,10.000000,1504545880.960000,0.750000,204.589600,216.000000,0,4.100000,1505936701.040000,
us2000aflf,-24.762700,-179.995300,494.090000,1504546921.740000,0.680000,536.936510,97.000000,0,4.600000,1505943412.040000,
us2000aflg,60.115800,-152.148700,67.900000,1504547635.800000,0.310000,0.000000,0.000000,0,2.400000,1507057738.040000,
us2000aflj,42.638400,-111.440900,10.000000,1504547962.000000,0.540000,31.244390,137.000000,0,2.500000,1511309644.220000,
us2000arn9,-6.983600,126.932200,408.060000,1504548912.490000,0.570000,423.856280,72.000000,0,4.200000,1507224531.040000,
us2000afls,42.655800,-111.499100,10.000000,1504550959.220000,0.940000,34.802470,146.000000,0,2.600000,1511309645.890000,
us2000aflu,42.640700,-111.441100,5.680000,1504551897.670000,0.400000,31.133200,124.000000,0,3.700000,1507224015.806000,
us2000afm1,1.174100,91.886200,10.000000,1504554195.140000,0.820000,632.559910,49.000000,0,5.100000,1507058928.040000,
us2000aljd,55.811100,-161.870400,166.740000,1504555277.010000,0.180000,16.900880,189.000000,0,2.700000,1507064811.040000,
