LatGridBinSize 4.0
LonGridBinSize 4.0
# Comment
# This file was generated on 2018/09/21
# Using the following query, run against the QA database:
#  select trunc(doriginlatcached/4)*4 lat, trunc(doriginloncached/4)*4 lon, count(epc.idevent) event_count, 
#         max(dorigindepthcached) max_depth, min(dorigindepthcached) min_depth, 
#         trunc(avg(dorigindepthcached)) avg_depth, 
#         round(min(dprefmagcached),1) min_mag, round(max(dprefmagcached),1) max_mag,
#         round(avg(dprefmagcached),1) avg_mag
#  from eventprefercache epc, eventtracking et
#  where epc.idevent = et.idevent
#    and et.fpubstatus > 2 /* some sort of pub */
#  --  and (doriginlatcached)  between 20 and 70
#  --  and (doriginloncached) between -160 and -100
#  group by trunc(doriginlatcached/4)*4, trunc(doriginloncached/4)*4
#  order by lat, lon
#  ;
#
# First two lines of file must be LatGridBinSize and LonGridBinSize 
# Comment lines are allowed but first character must be '#'
# Header line must be first blank line after the GridSize lines, and must start with "LAT  LON"
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG  
-40  144   1            9          9          9          3.4      3.4      3.4      
-40  152   1            9.93       9.93       9          4.7      4.7      4.7      
-40  168   16           22.77      2.11       10         2.7      5.6      4.3      
-40  172   721          236.2      1.05       21         3.3      7.8      4.4      
-40  176   33           54.21      8.809      28         3.9      5.9      4.4      
-36  -176  38           114.9      10         30         4.1      5.8      4.5      
-36  -108  6            14.83      9.94       10         4.6      5.3      4.9      
-36  -104  2            10         9.96       9          4.6      4.7      4.7      
-36  -100  20           24.23      6.28       11         4.4      5.7      4.8      
-36  -96   51           21.89      9.71       10         4.3      6.3      4.7      
-36  -92   37           27.99      9.67       10         4.2      5.4      4.7      
-36  -88   3            10.12      10         10         4.4      5.1      4.6      
-36  -72   329          111.21     1          24         3.5      6.4      4.5      
-36  -68   40           190.25     10         107        3.4      5.9      4.4      
-36  -60   1            14.55      14.55      14         4        4        4        
-36  -44   1            10         10         10         4.5      4.5      4.5      
-36  -36   1            14.77      14.77      14         5        5        5        
-36  -16   16           15.01      9.6        10         4.3      5.2      4.8      
-36  -12   4            13.89      10         11         4.7      5.1      4.8      
