 Pg                 0          11
   83    4.67      1.85       511.6  
   84    4.67      1.86       504.4  
   85    4.67      1.88       492.3  
   86    4.67      1.90       475.4  
   87    4.67      1.92       454.2  
   88    4.67      1.93       429.6  
   89    4.67      1.95       403.0  
   90    4.67      1.97       376.4  
   91    4.67      1.99       352.3  
 pPKiKP           104         116
  105    0.02      1.62        70.1  
  106   -0.55      2.27        53.0  
  107   -0.61      2.35        51.5 *
  108   -0.60      2.44        52.6  
  109   -0.65      2.64        55.0  
  110   -0.73      2.87        60.0  
  111   -0.80      3.03 *      67.2  
  112   -0.83      3.07        74.4  
  113   -0.82      3.00        78.2 *
  114   -0.74      2.86        77.2  
  115   -0.61      2.68        72.8  
 pPKPdf           115         180
  115   -0.61      2.68        72.8  
  116   -0.42      2.49        68.7  
  117   -0.53      2.55        42.8  
  118   -0.42      2.47        93.3  
  119   -0.32      2.40       133.9  
  120   -0.25      2.35       165.8  
  121   -0.18      2.31       190.0  
  122   -0.13      2.29       207.3  
  123   -0.09      2.28 *     218.8  
  124   -0.05      2.28       225.1 *
  125   -0.03      2.29       227.0  
  126    0.00      2.31       225.3  
  127    0.01      2.33       220.6  
  128    0.03      2.36       213.4  
  129    0.04      2.40       204.2  
  130    0.05      2.43       193.7  
  131    0.06      2.48       182.1  
  132    0.07      2.52       169.9  
  133    0.07      2.56       157.5  
  134    0.08      2.61       145.0  
  135    0.09      2.65       132.8  
  136    0.10      2.69       121.1  
  137    0.11      2.73       110.1  
  138    0.12      2.77        99.8  
  139    0.14      2.80        90.6  
  140    0.15      2.84        82.3  
  141    0.17      2.86        75.1  
  142    0.18      2.88        69.0  
  143    0.20      2.90        64.0 *
  144    0.21      2.91        60.1  
  145    0.23      2.92        57.2  
  146    0.25      2.92        55.4  
  147    0.27      2.92 *      54.4  
  148    0.28      2.91        54.4  
  149    0.30      2.90        55.1  
  150    0.31      2.88        56.4  
  151    0.33      2.85        58.2  
  152    0.34      2.82        60.5  
  153    0.35      2.79        63.1  
  154    0.36      2.75        65.8  
  155    0.36      2.71        68.5  
  156    0.36      2.66        71.2  
  157    0.36      2.61        73.6  
  158    0.36      2.55        75.7  
  159    0.36      2.50        77.4  
  160    0.35      2.44        78.6  
  161    0.34      2.38        79.2  
  162    0.32      2.32        79.1  
  163    0.31      2.27        78.2 *
  164    0.29      2.21        76.6  
  165    0.27      2.15        74.3  
  166    0.25      2.10        71.1  
  167    0.22      2.05        67.3  
  168    0.20      2.01        62.8  
  169    0.18      1.98        57.7  
  170    0.16      1.95        52.2  
  171    0.14      1.93 *      46.3  
  172    0.13      1.92        40.3  
  173    0.11      1.92        34.5  
  174    0.11      1.94        29.0  
  175    0.11      1.97        24.2  
  176    0.13      2.01        20.4  
  177    0.15      2.07        18.0  
  178    0.19      2.15        17.5  
 pPKPab           144         179
  155   -0.44      1.88        72.3  
  156   -0.36      1.73 *      73.7  
  157   -0.32      1.90        74.6  
  158   -0.29      2.12        75.1 *
  159   -0.28      2.30        74.8  
  160   -0.28      2.38 *      73.4  
  161   -0.29      2.39        70.6  
  162   -0.29      2.36        66.3  
  163   -0.29      2.32        60.8  
  164   -0.30      2.29        54.3  
  165   -0.30      2.28        47.4  
  166   -0.29      2.28        40.6  
  167   -0.29      2.27        34.4  
  168   -0.29      2.24 *      29.3  
  169   -0.29      2.18        25.3 *
  170   -0.29      2.09        22.5  
  171   -0.31      1.98        20.6  
  172   -0.35      1.88        19.2  
  173   -0.40      1.79        18.0  
  174   -0.48      1.73        16.7  
  175   -0.59      1.64        15.8  
  176   -0.74      1.38        16.7  
 pPKPbc           144         156
  145    0.89      3.00        20.0  
  154    0.89      2.94        23.7  
  155    0.02      2.48        29.4  
  156   -0.03      2.43        32.4  
 pPKPdif          155         164
  156   -0.03      2.43        32.4  
  157   -0.36      2.25        35.4  
  158   -0.53      2.02        35.3  
  159   -0.32      1.90        32.1  
  160   -0.12      1.82        29.2 *
  161   -0.22      1.66        27.8  
  164   -0.22      1.20         0.0  
 Sg                 0          14
    0   -0.31      0.74         0.0  
    1    0.02      0.92      1522.0 *
    2    0.11      0.92      1187.0  
    3    0.09      1.04       436.0 *
    4    0.19      1.32       406.0  
    5    0.07      1.58 *     454.0  
    6   -0.52      2.65       299.0  
    7    0.68      3.40       528.0 *
    8    0.80      3.78       360.0  
    9    1.02      4.08 *     221.0  
   10    2.45      3.93       178.0  
   11    2.90      3.34       105.0 
   12    2.80      3.08        47.0  
   13    3.45      3.38        34.0  
 Sb                 0          11
    1   -0.18      1.91        11.0  
    2   -0.25      0.37 *      12.0  
    3   -0.35      0.66        24.0  
    7    0.00      0.84 *      13.0  
    8   -0.25      1.10        14.0  
    9   -0.85      2.13        10.0  
   10   -0.20      1.91        11.0  
 Sn                 0          25
    0   -0.08      0.83         0.0  
    1   -0.01      0.84      1733.0 *
    2    0.33      1.20      2199.0 *
    3    0.78      2.04      1166.0  
    4    1.00      2.38 *     886.0 *
    5    1.38      2.67       432.0  
    6    1.05      2.64       268.0 *
    7    1.21      2.39       175.0  
    8    0.80      2.01 *     152.0  
    9    1.23      2.61       124.0  
   10    1.13      1.87        79.0  
   11    1.52      1.84        74.0  
   12    1.33      2.28        55.0 *
   13    1.42      2.75        17.0  
   14    3.35      2.84        24.0  
   15    3.10      2.50        15.0  
   18    2.35      2.64        12.0  
   19    0.15      1.18        10.0  
   24    3.00      2.50         8.0  
 S                 14         100
   18   -0.18      2.42      2073.4  
   19   -1.14      3.42      1730.9  
   20   -1.10      3.28      1725.4  
   21   -1.15      3.16      1810.2  
   22   -1.16      3.06      1869.0  
   23   -0.99      2.89      1875.4  
   24   -0.78      2.78      1853.6  
   25   -0.73      2.88 *    1838.4  
   26   -0.79      3.09      1835.0  
   27   -0.79      3.19      1779.8  
   28   -0.87      3.52 *    1305.1  
   29   -0.86      3.51      1343.9  
   30   -0.85      3.49      1379.5 *
   31   -0.86      3.46      1413.5  
   32   -0.86      3.43      1446.8  
   33   -0.86      3.41      1479.9  
   34   -0.85      3.38      1513.1  
   35   -0.84      3.36      1546.3  
   36   -0.82      3.34      1579.3  
   37   -0.80      3.33      1611.8  
   38   -0.77      3.31      1643.2  
   39   -0.74      3.30      1673.2  
   40   -0.71      3.30      1701.2  
   41   -0.68      3.29      1727.0  
   42   -0.65      3.28      1750.0  
   43   -0.62      3.27      1770.1  
   44   -0.60      3.26      1787.1  
   45   -0.59      3.25      1800.9 *
   46   -0.58      3.24      1811.5  
   47   -0.57      3.22      1819.1  
   48   -0.57      3.20      1823.9  
   49   -0.58      3.17      1826.3  
   50   -0.59      3.15      1826.6  
   51   -0.60      3.12      1825.4  
   52   -0.61      3.09      1823.1  
   53   -0.63      3.07      1820.4  
   54   -0.64      3.04      1817.7  
   55   -0.65      3.02      1815.8  
   56   -0.65      3.00      1815.0  
   57   -0.65      2.98      1816.0  
   58   -0.64      2.96      1819.3  
   59   -0.63      2.95      1825.1 *
   60   -0.61      2.95 *    1833.8  
   61   -0.59      2.95      1845.7  
   62   -0.56      2.95      1860.7  
   63   -0.52      2.96      1879.0  
   64   -0.49      2.97      1900.3  
   65   -0.45      2.99      1924.4  
   66   -0.41      3.01      1951.0  
   67   -0.37      3.03      1979.6  
   68   -0.34      3.06      2009.7  
   69   -0.32      3.08      2040.6  
   70   -0.30      3.10      2071.7  
   71   -0.29      3.12      2102.5  
   72   -0.30      3.13      2132.3  
   73   -0.32      3.14      2160.5  
   74   -0.34      3.15      2187.0  
   75   -0.37      3.15      2211.5  
   76   -0.40      3.15      2234.2  
   77   -0.42      3.15      2255.7  
   78   -0.42      3.16      2277.0  
   79   -0.39      3.17 *    2299.7 *
   80   -0.31      3.20      2326.1  
  100   -0.66      4.42       215.4  
 Sdif              99         132
  100   -0.66      4.42       215.4  
  101   -0.59      4.28       204.2  
  102   -0.41      4.37       181.1  
  103   -0.25      4.60       152.6  
  104   -0.14      4.87       123.5  
  105   -0.09      5.11        96.8  
  106   -0.06      5.23 *      74.5  
  107   -0.02      5.22        57.2  
  108    0.05      5.07        44.9 *
  109    0.17      4.81        37.2  
  110    0.34      4.49        33.0  
  111    0.55      4.16        31.3  
  112    0.78      3.90        31.0  
  113    1.01      3.77 *      31.0  
  114    1.22      3.82        30.5  
  115    1.39      4.09        29.1  
  116    1.51      4.57        26.5  
  117    1.59      5.24        23.0  
  118    1.66      6.04        18.9  
  119    1.75      6.88        14.9  
  120    1.90      7.64        11.8  
  121    2.14      8.21        10.5  
  122    2.49      8.47 *      11.4  
  123    2.90      8.34        14.7  
  124    3.26      7.81        19.7  
  125    3.34      7.00        24.7  
  126    2.73      6.17        26.5 *
  127    0.81      5.80        19.9  
  132    0.81      4.00         1.0  
 PcP               14         100
   25    0.88      1.93       189.2  
   26    0.76      1.97       197.5  
   27    0.68      1.91       211.1  
   28    0.65      1.80       228.1  
   29    0.63      1.67       247.0  
   30    0.63      1.54       266.4  
   31    0.63      1.43       285.4  
   32    0.64      1.35       303.1  
   33    0.64      1.30 *     319.1  
   34    0.64      1.27       332.9  
   35    0.64      1.27       344.3 *
   36    0.64      1.30       353.2  
   37    0.63      1.34       359.7  
   38    0.62      1.39       363.9  
   39    0.61      1.45       366.0  
   40    0.60      1.51       366.2  
   41    0.59      1.56       364.8  
   42    0.58      1.61       362.2  
   43    0.57      1.64       358.5  
   44    0.56      1.67       354.3  
   45    0.55      1.69       349.7  
   46    0.54      1.70       345.0  
   47    0.54      1.70       340.5  
   48    0.53      1.70       336.5  
   49    0.52      1.70       333.0  
   50    0.51      1.71       330.1  
   51    0.50      1.72       328.1  
   52    0.48      1.75       326.9  
   53    0.45      1.79       326.4  
   54    0.43      1.85       326.7  
   55    0.39      1.94       327.7  
   56    0.36      2.04 *     329.1  
   57    0.31      2.17       331.0  
   58    0.26      2.32       333.0  
   59    0.21      2.49       335.1  
   60    0.15      2.68       337.0  
   61    0.09      2.88       338.6  
   62    0.03      3.10       339.7  
   63   -0.03      3.32       340.3  
   64   -0.09      3.55       340.4  
   65   -0.15      3.78       340.0  
   66   -0.20      4.01       339.3  
   67   -0.25      4.24       338.5  
   68   -0.30      4.49       338.2  
   69   -0.35      4.75 *     338.9  
   70   -0.40      5.05       341.5  
   99   -0.40      6.00       300.0  
 ScS                0         101
   18   -0.15      3.39        84.1  
   19    0.07      3.25        82.0  
   20    0.18      3.21 *      80.4  
   21    0.23      3.23        79.7  
   22    0.25      3.31        80.1  
   23    0.26      3.41        81.8  
   24    0.26      3.53        84.6  
   25    0.27      3.66        88.4  
   26    0.29      3.79        93.2  
   27    0.31      3.90        98.5  
   28    0.33      4.00       104.2  
   29    0.36      4.08       110.1  
   30    0.37      4.13       116.0  
   31    0.38      4.16 *     121.6  
   32    0.37      4.17       126.8  
   33    0.34      4.16       131.5  
   34    0.30      4.12       135.6  
   35    0.23      4.07       139.0  
   36    0.14      4.00       141.7  
   37    0.04      3.92       143.9 *
   38   -0.08      3.83       145.5  
   39   -0.21      3.74       146.6  
